country,life_expectancy,mean_schooling_years,expected_schooling_years,gni_per_capita,hdi_category
Norway,63.1,4.1,15.6,53199.0,Medium
Switzerland,83.3,12.9,7.3,2209.0,Medium
Ireland,75.6,8.6,13.6,2038.0,Medium
Germany,71.0,12.1,14.1,22991.0,High
Hong Kong,55.5,6.5,11.4,34461.0,Low
Australia,55.5,12.9,16.0,54043.0,Medium
Iceland,52.0,7.3,19.0,47989.0,Low
Sweden,80.3,3.1,18.9,31490.0,High
Singapore,71.0,13.0,11.8,19517.0,Medium
Netherlands,74.8,4.0,6.7,69800.0,Medium
Denmark,50.7,6.5,19.8,30120.0,Low
Finland,83.9,13.5,17.6,31871.0,Very High
Canada,79.1,13.5,6.9,11872.0,High
New Zealand,57.4,9.3,18.8,55739.0,Medium
United Kingdom,56.4,10.0,18.0,48711.0,Medium
United States,56.4,7.9,12.8,15843.0,Low
Belgium,60.6,6.2,13.9,6225.0,Low
Liechtenstein,68.4,6.6,11.0,47795.0,Medium
Japan,65.1,10.4,5.8,45989.0,Medium
Austria,60.2,11.3,10.0,19492.0,Low
Luxembourg,71.4,11.7,17.0,66585.0,High
Israel,54.9,11.7,5.1,10999.0,Low
South Korea,60.2,4.0,10.0,30547.0,Low
Slovenia,62.8,8.4,11.0,66081.0,Medium
Spain,66.0,3.6,13.1,29671.0,Medium
Czechia,77.5,9.0,18.8,44878.0,High
France,57.0,7.9,10.2,28133.0,Low
Malta,68.0,12.8,10.2,19558.0,Medium
Italy,70.7,6.9,16.1,68886.0,High
Estonia,51.6,4.3,11.8,28949.0,Low
Cyprus,71.3,4.6,8.4,62640.0,Medium
Greece,56.0,11.4,11.8,16482.0,Low
Poland,52.3,9.8,7.1,15311.0,Low
Lithuania,83.2,4.1,7.6,2664.0,Medium
United Arab Emirates,83.8,3.9,12.5,45791.0,High
Saudi Arabia,78.3,10.7,11.3,26113.0,High
Andorra,60.7,3.8,18.7,60573.0,Medium
Slovakia,53.4,12.0,10.4,33388.0,Low
Latvia,73.9,10.8,13.7,67789.0,High
Portugal,65.4,3.9,14.5,13394.0,Low
Qatar,54.3,3.9,5.2,60869.0,Low
Chile,67.3,13.9,15.0,54473.0,High
Croatia,51.2,7.1,7.7,54079.0,Low
Bahrain,81.8,7.1,19.4,59212.0,Very High
Kuwait,59.1,11.9,7.2,53391.0,Medium
Hungary,73.2,13.4,11.2,44022.0,High
Argentina,60.9,13.8,6.3,9622.0,Low
Oman,68.2,11.3,20.0,2761.0,Medium
Russia,69.1,7.1,12.5,64499.0,Medium
Montenegro,56.5,3.9,13.9,43357.0,Low
Bulgaria,83.9,11.5,6.0,55859.0,High
Romania,77.1,9.1,16.2,33966.0,High
Belarus,82.9,7.7,8.1,8653.0,High
Bahamas,81.3,13.0,18.5,9200.0,High
Uruguay,70.9,4.2,8.1,48147.0,Medium
Kazakhstan,82.3,8.4,7.9,30406.0,High
Malaysia,53.1,3.1,5.5,14436.0,Low
Serbia,56.9,8.2,12.1,34666.0,Low
Thailand,51.6,3.6,13.5,4963.0,Low
Costa Rica,61.4,4.3,6.0,40947.0,Low
Albania,63.6,4.3,16.6,19195.0,Low
Iran,59.5,10.1,11.8,55930.0,Medium
Georgia,79.0,11.2,12.9,22070.0,High
Sri Lanka,62.5,9.4,11.6,32138.0,Medium
Cuba,59.8,13.6,11.0,1308.0,Low
Mexico,69.0,7.1,13.4,5535.0,Low
Brazil,54.9,6.1,7.3,27778.0,Low
Colombia,78.1,12.6,7.7,33856.0,High
Armenia,52.6,5.5,17.9,42201.0,Low
Maldives,84.5,13.6,19.2,20771.0,Very High
Peru,77.0,3.1,10.6,48801.0,Medium
China,57.0,13.7,9.1,60279.0,Medium
Ecuador,50.2,3.5,14.7,54700.0,Low
Azerbaijan,78.5,12.8,11.1,3254.0,Medium
Ukraine,74.7,8.8,5.4,33895.0,Medium
Indonesia,75.5,13.9,7.3,7793.0,Medium
Philippines,77.0,3.8,15.7,17322.0,Medium
Egypt,52.6,9.1,14.9,69073.0,Medium
South Africa,62.5,13.7,5.4,10403.0,Low
Vietnam,54.1,8.8,8.3,35173.0,Low
Iraq,80.2,9.9,8.5,43462.0,High
Morocco,71.8,10.7,15.1,49321.0,High
Kyrgyzstan,61.6,8.0,5.3,39396.0,Low
India,52.2,9.9,6.6,1179.0,Low
Bangladesh,60.9,9.4,17.0,23189.0,Medium
Cambodia,61.4,12.9,7.7,36481.0,Medium
Kenya,75.5,3.5,14.8,6607.0,Medium
Nepal,72.3,6.1,8.6,24869.0,Medium
Pakistan,81.1,13.5,6.5,2808.0,Medium
Ghana,66.5,12.8,8.6,5961.0,Low
Myanmar,54.2,8.0,15.8,28086.0,Low
